Hash	Adds	K Hash	Path
M66c4c783e2	82	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w197c23ci-001.exp
Mc39ebb53e1	82	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w197c48ae-000.exp
M0199fd2147	82	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w201c23ci-001.exp
M8d70b818db	85	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w201c48ae-000.exp
Mafaafc9860	82	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w203c48ae-000.exp
M918c07c51a	84	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w203c48ae-001.exp
M56341e7492	84	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w205c23ci-000.exp
M9a6eb69b91	84	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w205c23ci-001.exp
Me0980943bd	86	K37d896ce4f	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w205c23ci-002.exp
M3e3ee65f21	86	Kac65f87215	mm-solutions/heule-canonical/18x2+51x+4y6+6y4+13y3+z31+z29+z27/i18w205c48ae-000.exp
